"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON with Comments", "Markdown", "JSON", "JavaScript", "env", "HTML", "comment", "blank", "total"
"/Users/yukimoto/projects/touchwhale-erp/client/src/routes/appLink.ts", "TypeScript", 200, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 212
"/Users/yukimoto/projects/touchwhale-erp/client/src/serviceWorker.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 31, 14, 147
"/Users/yukimoto/projects/touchwhale-erp/client/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/yukimoto/projects/touchwhale-erp/client/src/utils/ajv.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/yukimoto/projects/touchwhale-erp/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/yukimoto/projects/touchwhale-erp/ecosystem.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"/Users/yukimoto/projects/touchwhale-erp/package-lock.json", "JSON", 0, 0, 0, 0, 0, 538, 0, 0, 0, 0, 1, 539
"/Users/yukimoto/projects/touchwhale-erp/package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"/Users/yukimoto/projects/touchwhale-erp/server/config/config.env.env", "env", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"/Users/yukimoto/projects/touchwhale-erp/server/dist/__tests__/UserTest.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 206, 0, 0, 26, 1, 233
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/apiIO.js", "JavaScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 9, 1, 80
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/apiRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/apiTypes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleControllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 167, 0, 0, 25, 1, 193
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleHandlerIO.js", "JavaScript", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 1, 144
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleModels.js", "JavaScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 1, 54
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/rolePermissions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 1, 14
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleType.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/twItem/twItemController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 208, 0, 0, 45, 1, 254
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/twItem/twItemHandlerIO.js", "JavaScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 1, 96
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/twItem/twItemModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 98, 0, 0, 8, 1, 107
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/twItem/twItemRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 1, 32
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/twItem/twItemType.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userControllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 401, 0, 0, 92, 1, 494
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userHandlerIO.js", "JavaScript", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 1, 206
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 134, 0, 0, 8, 1, 143
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userPermissions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 1, 53
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userTypes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/advancedResult.js", "JavaScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 5, 1, 68
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/authMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 1, 48
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/errorCatcher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/errorMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 4, 1, 66
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/permission/permissionMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/permission/permissionType.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 1, 52
"/Users/yukimoto/projects/touchwhale-erp/server/dist/middlewares/permissionMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 37
"/Users/yukimoto/projects/touchwhale-erp/server/dist/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 8, 1, 62
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/AWS/b2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 17, 0, 39
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/CustomError.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 1, 44
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/ajv.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/emailMessage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/mongodb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/passportOAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/sendEmail.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"/Users/yukimoto/projects/touchwhale-erp/server/dist/utils/testconfig/Testdatabase.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"/Users/yukimoto/projects/touchwhale-erp/server/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"/Users/yukimoto/projects/touchwhale-erp/server/jest.setup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/yukimoto/projects/touchwhale-erp/server/package-lock.json", "JSON", 0, 0, 0, 0, 0, 11946, 0, 0, 0, 0, 1, 11947
"/Users/yukimoto/projects/touchwhale-erp/server/package.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 56
"/Users/yukimoto/projects/touchwhale-erp/server/src/__tests__/UserTest.test.ts", "TypeScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 26, 47, 288
"/Users/yukimoto/projects/touchwhale-erp/server/src/environment.d.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 33
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/apiIO.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 100
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/apiRoutes.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/apiTypes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleControllers.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 25, 7, 203
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleHandlerIO.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 143
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleModels.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleRoutes.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 13
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleType.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/twItem/twItemController.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 0, 0, 47, 38, 296
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/twItem/twItemHandlerIO.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 106
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/twItem/twItemModel.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 100
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/twItem/twItemRoutes.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 41
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/twItem/twItemType.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 102
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userControllers.ts", "TypeScript", 430, 0, 0, 0, 0, 0, 0, 0, 0, 92, 30, 552
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userHandlerIO.ts", "TypeScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 214
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userModel.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 132
